order,sender,receiver,message
1,1,3,"Aan de orde is het vragenuur. Een hartelijk woord van welkom aan de staatssecretaris Participatie en Integratie, die wij meteen even feliciteren met de geboorte van zijn tweede kind, een dochtertje dat Anne heet. Zo, dan staat ze meteen in de Handelingen. Hij wordt aan de tand gevoeld door de heer Van Kent van de SP. Ik geef graag het woord aan hem."
2,2,3,"Dank, voorzitter. Ultrafijnstof, zware metalen, kankerverwekkende koolwaterstoffen, asbest en nog veel meer stoffen: daar worden de omwonenden en werknemers van Tata Steel aan blootgesteld. Dat is levensgevaarlijk gif. Het RIVM en de GGD hebben al vastgesteld dat mensen die in de buurt van Tata Steel wonen, een kortere levensverwachting hebben. CE Delft heeft becijferd dat er om en nabij de 350 miljoen extra zorgkosten voortvloeien uit de uitstoot van Tata Steel. Het is goed dat er nu ook aandacht is voor de mensen die bij Tata werken. EenVandaag heeft op basis van eigen onderzoek vastgesteld dat mensen die bij Tata werken, 50% meer kans hebben om tijdens hun werkzame leven te overlijden dan werknemers die elders werken. De SP vindt dat onbestaanbaar. Wij vinden dat daar ingegrepen moet worden door de staatssecretaris en door de inspectie. Ik wil de staatssecretaris vragen wat zijn reactie is en welke maatregelen hij gaat nemen om ervoor te zorgen dat hier wordt ingegrepen."
3,1,3,Het woord is aan de staatssecretaris.
4,3,2,"Voorzitter, dank u wel. Ik deel namens het kabinet met de heer Van Kent dat het niet zo kan zijn dat werknemers overlijden of ziek worden als gevolg van hun arbeidsomstandigheden. Eerder hebben we in debatten met elkaar gesproken over nul doden op de werkvloer. Dat geldt uiteraard ook voor een bedrijf als Tata Steel. Ik heb kennisgenomen van de berichtgeving van EenVandaag over de sterfte van de fabriekswerknemers van Tata Steel voor hun 65ste levensjaar, zoals u dat zojuist schetste. Net als u vind ik dat ernstig. Het uitgangspunt moet gewoon zijn dat iedereen in Nederland gezond en veilig aan het werk kan. U schetste al een aantal onderzoeken die worden gedaan voor omwonenden. Tegelijkertijd is Tata Steel zelf verantwoordelijk is voor de gezondheid van de werknemers. Voor alle bedrijven in Nederland hebben we daar afspraken over, dus ook voor Tata Steel. Daarenboven maken we met Tata Steel nog aparte afspraken over gezondheid en hoe zij daar uiteindelijk mee om moeten gaan bij hun werknemers."
5,2,3,"Het staat niet op zichzelf, want in onderzoeken bij staalfabrikanten in Engeland, Italië en Spanje zien we vergelijkbare cijfers. Ook daar overlijden tot 50% meer mensen tijdens hun werkzame leven dan bij andere bedrijven. Kan de staatssecretaris hier bevestigen dat werknemers bij Tata beschermd zijn volgens de allerlaatste inzichten van de wetenschap, dus volgens de allerlaatste kennis die er is rondom filters en beschermingsmiddelen? Dit staat in de Arbowetten, dus de wetten die zijn gemaakt om mensen te beschermen. Kan de staatssecretaris hier bevestigen dat mensen volgens die laatste strenge normen beschermd zijn bij Tata?"
6,3,2,"Wat ik kan bevestigen, is dat de Arbeidsinspectie toezicht houdt op de naleving van de wettelijke verplichtingen die zojuist voor een deel werden geschetst door de heer Van Kent. Tegelijkertijd wil het kabinet in gesprek gaan met Tata Steel over mogelijke maatwerkafspraken over de verdere verduurzaming. Het uitgangspunt daarbij is voor het kabinet helder, namelijk dat als gevolg van de maatwerkafspraken de impact van Tata Steel op de oud-werknemers maar ook de omwonenden en werknemers zo snel mogelijk moet worden geminimaliseerd. Dat bedoelen we in termen van schadelijke uitstoot alsook hinder. Die vermindering van de schadelijke impact op de gezondheid moet goed gemeten en gecontroleerd worden."
7,2,3,"Ik hoor hier geen bevestiging. We hebben met elkaar wetten en regels. De vraag die ik aan de staatssecretaris stel, is: vindt de staatssecretaris en kan de staatssecretaris garanderen dat Tata aan die laatste wetten en regels voldoet en dat de werknemers dus optimaal beschermd zijn? Als dat niet het geval is, is de staatssecretaris dan bereid om de inspectie erop af te sturen en ervoor te zorgen dat die normen wel worden nageleefd?"
8,3,2,"Ik gaf zojuist al aan dat de Arbeidsinspectie toezicht houdt op de naleving van de wettelijke verplichtingen. Er zijn op dit moment ook controles vanuit de Arbeidsinspectie. De Arbeidsinspectie voert die als orgaan zelfstandig uit; daar ga ik niet in treden. De gesprekken die ik zojuist benoemde, lopen ook. Zowel de inspectie als ik, vanuit mijn rol als staatssecretaris, zitten erbovenop."
9,2,3,"Ik vind het niet voldoende. Mensen lopen groot gevaar. Mensen overlijden bij Tata veel vaker veel eerder, vaak voordat ze hun pensioengerechtigde leeftijd halen. Dat heeft te maken met de omstandigheden op de werkvloer. Er zijn niet voor niets wetten en regels die ervoor zorgen dat mensen beschermd zijn op de plek waar ze werken. Ik hoor de staatssecretaris hier niet bevestigen dat Tata voldoet aan de laatste eisen, wetten en regels. Ik wil de staatssecretaris nogmaals de kans geven om hier te zeggen: ja, wij gaan ervoor zorgen dat de werknemers bij Tata optimaal en volgens de laatste inzichten beschermd zijn."
10,3,2,"Ik zal nogmaals herhalen dat voor het kabinet geldt dat er bij elk bedrijf in Nederland nul doden op de werkvloer zouden moeten zijn. Dat geldt dus ook voor Tata Steel. Over dit specifieke geval, dit onderzoek dat naar voren is gekomen, kan ik zeggen dat het kabinet inziet dat dit ernstig is, voor zover we de data kunnen toetsen; ik heb het onderzoek uiteraard niet zelf gedaan, noch ken ik alle inzichten daaruit. Maar ik wil de Arbeidsinspectie naar aanleiding van deze berichtgeving nogmaals vragen of die hier kritisch naar wil kijken en dit wil volgen. Maar we zitten er al bovenop. Dat is eigenlijk de boodschap die ik wil meegeven. Ik hoop dat ik met de extra toezegging dat ik dit nogmaals zal vragen, ook benadruk dat we in de toekomst datgene wat we al deden zeker ook willen blijven doen."
